ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Distance,Fuel,Brakes,Speed,Range,RPM,Accelerator pedal position,Engine fuel rate,Days,Trips,TripperDay,DistanceperTrip,TripsinDay,DistanceinDay,TripsinNight,DistanceinNight,TripsinWeekdays,DistanceinWeekdays,TripsinWeekends,DistanceinWeekends,Trips<15m,15m<Trips<30m,30m<Trips<1h,1h<Trips<2h,Trips>2h
14807399970,1,1,200,154,232,86.9,614,12.14301098,0.28211497,840.2873142,13.08610812,4.674402326,6,31,5.166666667,7.483870968,31,232,0,0,19,191.2,12,40.8,6,1,10,9,5
14807406148,0,0,7,104,1235.7,195.42,1027,15.84303839,0.386954954,424.7571026,5.802038603,2.732736933,6,51,8.5,24.22941176,22,325.4,29,910.3,33,859.9,18,375.8,24,5,0,21,1
14807406155,96,13,269,444,2491.3,445.16,951,46.18949,1.731757672,957.3456082,21.35098156,8.6087579,6,50,8.333333333,49.826,15,59.6,35,2431.7,32,1689.5,18,801.8,28,4,0,5,13
14807406156,0,1,55,171,2040.8,349.29,791,43.24798841,1.354626407,835.8938982,10.47966685,7.998026435,6,39,6.5,52.32820513,17,4.5,22,2036.3,28,1336.9,11,703.9,24,3,0,1,11
14807406157,0,0,7,38,660.6,111.02,432,26.9758185,0.475529987,566.9413613,10.95790576,4.727609075,6,23,3.833333333,28.72173913,5,0.3,18,660.3,16,482.1,7,178.5,13,1,0,7,2
14807406159,0,0,38,131,1527.5,262.77,8,35.94440464,1.74580305,787.1685649,17.75953614,7.082201284,5,41,8.2,37.25609756,20,229.9,21,1297.6,28,1307.9,13,219.6,27,6,1,0,7
14807406167,0,1,11,47,1593.7,307.3,635,41.35946457,1.905992807,797.6571429,21.37268841,8.674668166,6,31,5.166666667,51.40967742,5,11.1,26,1582.6,23,1056.9,8,536.8,18,5,2,0,6
14807406325,0,0,10,29,1214.5,226.49,835,25.40954594,1.270614471,747.9574544,11.04733643,5.176751877,6,32,5.333333333,37.953125,7,60.8,25,1153.7,23,686.1,9,528.4,16,2,2,7,5
14807406984,0,0,403,808,3085.3,591.85,1212,52.47863442,1.9186234,1005.407491,25.50912554,10.66620296,6,42,7,73.45952381,22,62.9,20,3022.4,28,1997.4,14,1087.9,27,2,1,3,9
14807406995,8,78,252,72,4174.7,818.53,1690,59.64536724,2.217062093,1111.051551,29.25871676,11.79619038,6,50,8.333333333,83.494,27,2004.7,23,2170,31,2599.4,19,1575.3,22,8,0,0,20
14807407007,6,3,31,83,2237.1,420.13,1313,48.45354791,1.732034903,894.1601147,21.32619165,8.679336609,6,26,4.333333333,86.04230769,11,1021.3,15,1215.8,19,1594.1,7,643,5,6,0,5,10
14807407010,0,0,332,545,2857.1,486.66,1147,51.2632758,2.277794591,951.7318756,23.04882636,8.92983175,6,55,9.166666667,51.94727273,23,1.9,32,2855.2,43,2083.3,12,773.8,40,3,1,0,11
14807407104,8,273,413,218,3056.9,685.26,3810,57.60763775,3.845445254,1020.393999,27.16028369,10.68568467,6,34,5.666666667,89.90882353,24,162.7,10,2894.2,24,1976.1,10,1080.8,21,3,0,0,10
14807407106,0,0,30,33,1721.8,317.19,2845,44.56620093,2.411889296,944.7229984,19.87633622,8.509780439,5,32,6.4,53.80625,15,683.6,17,1038.2,22,1035.1,10,686.7,22,1,0,3,6
14807407107,0,3,12,36,1486.1,259.19,907,38.80546302,1.49326059,748.7098601,16.78427715,7.159560293,6,39,6.5,38.10512821,9,68.5,30,1417.6,26,708.9,13,777.2,23,3,6,2,5
14807407110,2,0,25,80,2043.2,366.15,2058,41.48655217,1.431957284,859.4531756,17.23558004,7.436746598,5,23,4.6,88.83478261,3,319.6,20,1723.6,12,1277.8,11,765.4,6,1,0,3,13
14807407116,1,0,39,64,3844.8,542.87,812,46.29389593,1.204019915,936.3192859,11.73988064,7.183352529,6,68,11.33333333,56.54117647,34,1417.2,34,2427.6,38,2275.9,30,1568.9,35,8,2,0,23
14807407120,1,3,11,34,445.4,123.33,652,13.37730244,1.270064976,629.81224,6.063061992,3.281798376,5,46,9.2,9.682608696,32,94.3,14,351.1,23,433.5,23,11.9,16,9,11,7,3
14807407121,0,12,259,397,2280.8,464.51,3202,36.63998668,1.432067448,882.9800178,17.2222913,7.521669627,6,25,4.166666667,91.232,3,1.9,22,2278.9,16,1173.9,9,1106.9,7,5,0,3,10
